Date,Time,ConversationID,ScrubbedUtterance,Intent,IntentConfidence,Bot Response,UserFeedback Sentiment,UserFeedbackComments
18-Jun,0:34,18dd15cd-468a-4fe7-a8bb-ee3bd9a986fe,can i have double healthcare coverage,Get_Plan_Info,52%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,0,Too long of an answer. Suggest we donâ€™t use the term â€œticketâ€ in our answers
20-Jun,0:48,8a58bb80-cbe4-4e13-9677-817593083e6e,how do you enroll in hsa,Enroll_in_Plan,99%,Great topic! To register and start contributing to your HSA  you must set up your account with Fidelity. Keep in mind you have to wait 10 days after your hire date to be able to register. To register go to http://www.netbenefits.com|NetBenefits.com and click on Register as a new user then complete the required fields and verify your identity. For Workday Payroll to be able to fund your HSA account  all required identification must be completed.  You can also check out the Welcome to NetBenefits brochure posted on benefitstream https://workdayinc.benefitstream.net/sites/default/new-files/WorkdayInc/documents/NBBrochure.com_.pdf|here For even more information on your HSA  click https://workdayinc.benefitstream.net/your-benefits-28/health-savings-account-hsa|here  Username: workday  Password: welcome2benefits,0,Too many â€œâ€â€
17-Jun,16:48,06511530-5122-41a4-a4b6-bce9ade1327a,eap,Enroll_in_Plan,54%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,typing EAP took me to benefit enrollment. It should automatically pick up MyLifeCoach with EAP (since Workmates aren't necessarily able to name MyLifeCoach as our EAP) and the answer should provide different ways to connect to MLC (via Okta  via app  via phone) recognizing the nuances between international and us numbers
19-Jun,21:28,a84d62d4-08db-4c52-9194-e1b2b7f1bfb4,i want to give my employee a raise,Random_Questions,72%,I don't know the answer to that right now but my fellow Workmates are constantly teaching me new things to help me improve.,-1,wanted to learn about raises
18-Jun,21:51,bc46fdc9-1205-4958-8539-41d6e61fbadc,Tell me about espp,Get_Plan_Info,96%,An ESPP is a voluntary benefit plan in which eligible employees may elect to contribute money from their payroll (or contribute directly for Hong Kong) to purchase company stock at a discounted price. Eligible employees may contribute between 1-15% (in 1% increments) of their (1) base salary (not including bonuses and commissions)  or (2) regular hourly wages (for hourly employees) to purchase shares under the ESPP. The contribution is calculated on gross wages  but deducted from after-tax dollars. To learn more including important dates and facts head to the https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000GpgKAAS/page/a7t80000000HFyOAAW?origin=cl|ESPP site,1,
17-Jun,16:03,b14f854f-016b-4b92-b965-974f5dd785c1,how much can i contribute to my 401K this year,Get_Contribution_Amount,79%,Workday will match 50%  up to 6% of eligible compensation  up to the IRS maximum. The match will be funded on a per pay period basis and you will typically see the match in your account by the Monday after you receive your paycheck. To be eligible to receive the match  you need to actively contribute to Workdayâ€™s 401(k) plan.To maximize your match  make sure you contribute at least 6% of your eligible compensation (pre-tax or Roth) at any time during the year and you will receive the maximum match of 3%.,-1,Wex answered a different question. I asked how much I could contribute to my 401K (asking for the limit) and she told me how much Workday would match.
18-Jun,19:33,9a2bf4b5-edc7-438a-a515-d7907732b495,can i waive medical benefits,Enroll_in_Plan,62%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,0,Wex did not answer my question about waiving medical benefits.  Instead he told me when I could enroll.
17-Jun,16:51,86158d9a-3765-4f41-bf14-4b5db5a364a3,where can i get mental health support,Get_Help_Report_Concern,79%,Our Employee Assistance Program (EAP) is through _MyLifeCoach_ by _Optum_. You and your dependents have access to six short-term  face-to-face counseling sessions per issue. Hereâ€™s how to access _MyLifeCoach_  simply choose the way that works best for you and your family: https://workday.okta.com|Okta Tile: MyLifeCoach - US US Mobile App: _MyLiveAndWorkWell_ (Access Code: *WorkdayUS*) https://www.liveandworkwell.com|LiveAndWorkWell.com (Access Code: *WorkdayUS*) You can also call *1-866-248-4094* anytime for confidential help.,0,Wex doesn't recognize when I simply type EAP nor mylifecoach  but is able to recognize when I ask where can I get mental health support? It would be helpful to pick up just single words as well.
19-Jun,18:58,8e6f1413-efc5-487f-9903-f0b625248ecd,us holidays,Random_Questions,38%,I don't know the answer to that right now but my fellow Workmates are constantly teaching me new things to help me improve.,0,WEX should be able to provide US Holiday dates
17-Jun,16:02,4b12c9cc-3067-497f-b850-687ce61387a3,what is the limit on the 401K match,Get_Plan_Info,95%,All 401k elections and changes must be made within Fidelity to be reflected in Workday.  Workday will match 50%  up to 6% of eligible compensation  up to the IRS maximum. The match will be funded on a per pay period basis and you will typically see the match in your account by the Monday after you receive your paycheck. To be eligible to receive the match  you need to actively contribute to Workdayâ€™s 401(k) plan. To maximize your match  make sure you contribute at least 6% of your eligible compensation (pre-tax or Roth) at any time during the year and you will receive the maximum match of 3%. For additional information  visit the 401(k) Match Enhancement Workspace page https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000004uAAA/page/a7t80000000D17xAAC|here,1,
18-Jun,4:50,70766383-7672-43ce-b068-eaf80b6b732b,what is the co-pay at kaiser,Compare_Plans,41%,I am glad you asked! You can compare medical plans and review our benefits summary by checking out our benefits portal https://workdayinc.benefitstream.net/your-benefits-28/medical-plans-0|here Username: workday Password: welcome2benefits You can also have a conversation with https://www.myalex.com/workday/2019|ALEX -- a fun  online  confidential tool that will tell you what Workday offered plan it thinks will work best for you.,0,Would have preferred a direct answer instead of sending me somewhere else.
18-Jun,4:42,e1ca1a4d-d39f-4ad5-a7e2-82be8f5957c9,do we have chiropractic benefits,Get_Plan_Info,70%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,0,Would have preferred a direct response. My question wasn't answered.
18-Jun,4:53,70766383-7672-43ce-b068-eaf80b6b732b,how can workday help me through a difficult time,Function_What_Time_Is_It,50%,I'm sorry  I didn't understand. Is there a way to rephrase that? Sometimes that helps.,0,Would have wanted to see something for MyLifeCoach.
18-Jun,19:32,6704f6e1-7698-438e-ad0f-0de7404ce4f7,when does the workday 401k match occur,Get_Plan_Info,98%,All 401k elections and changes must be made within Fidelity to be reflected in Workday.  Workday will match 50%  up to 6% of eligible compensation  up to the IRS maximum. The match will be funded on a per pay period basis and you will typically see the match in your account by the Monday after you receive your paycheck. To be eligible to receive the match  you need to actively contribute to Workdayâ€™s 401(k) plan. To maximize your match  make sure you contribute at least 6% of your eligible compensation (pre-tax or Roth) at any time during the year and you will receive the maximum match of 3%. For additional information  visit the 401(k) Match Enhancement Workspace page https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000004uAAA/page/a7t80000000D17xAAC|here,1,
18-Jun,4:51,70766383-7672-43ce-b068-eaf80b6b732b,is there anything i cant ask you,ChatBot_What_To_Ask,95%,I'm Wex  your Workday Expert  and am available at all times to answer your People & Purpose Questions!,0,Would love to see a funny response here
18-Jun,0:25,e3ead08b-38cd-4770-9747-d79b80c9c081,what is my deductible,ChatBot_What_To_Ask,28%,I'm Wex  your Workday Expert  and am available at all times to answer your People & Purpose Questions!,-1,Wrong answer on deductible
18-Jun,0:32,19504ac1-8c64-414d-b0eb-114ab9d9e66c,Vacation days,ChatBot_Goodbyes,48%,Thanks! Have a great Workday!,-1,Wrong answer.
18-Jun,0:49,d78102e5-d768-41a2-8e83-c967a294ee8e,when am i eligible for cobra,View_Benefits_Changes,98%,Sounds like you're trying to make a benefits change.,-1,Wrong answer. Need explanation for cobra benefit
18-Jun,0:32,18dd15cd-468a-4fe7-a8bb-ee3bd9a986fe,pto,ChatBot_Goodbyes,42%,Thanks for checking in! Hopefully I was able to assist you. Let me know anytime you have another question.,-1,Wrong response to PTO question
17-Jun,15:35,79380525-4b2e-4f72-a28f-130ff6d3cb6b,hi Wex,ChatBot_Greetings,99%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,15:36,6bc06888-62ed-4c1c-86f2-517155869af6,fitness program,Enroll_in_Plan,100%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,,
17-Jun,15:52,7ed829a0-844e-48eb-82a7-c58e9591fd25,can you suggest a benefits package for me,Enroll_in_Plan,41%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,,
17-Jun,15:53,2cefa6ee-f38c-43ea-a413-8471e320da6d,fsa enrollment,Enroll_in_Plan,100%,Happy to help! FSA stands for a Flexible Spending Account. A FSA allows you to make pre-tax contributions to pay for medical  vision and dental expenses within that calendar year.  If you are enrolled in one of the High Deductible Health Plans  you are only eligible to enroll in a LPFSA (Limited Purpose FSA). A LPFSA will only allow for dental and vision expenses. All FSA expenses must be incurred during the plan year  January 1 through December 31. But luckily  you have a grace period  you have 90 days after the end of the plan year (March 31) to submit eligible expenses for reimbursement. IRS rules mandate that you forfeit any unused money left in your accounts each year. Keep in mind  our integration with https://www.wageworks.com|WageWorks  our FSA carrier  occurs every Friday evening. Once you submit your enrollment you should be in the system in about a week. When you register  please use the LAST four digits of your employee ID. To learn more about FSA head to https://benefitstream.net|BenefitStream.net.  Username: workday Password: welcome2benefits,,
17-Jun,16:01,4b12c9cc-3067-497f-b850-687ce61387a3,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
18-Jun,19:36,6704f6e1-7698-438e-ad0f-0de7404ce4f7,where can i find my total paycheck deduction for benefits elections,Get_Plan_Info,99%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,1,
17-Jun,16:01,a8095e82-cdae-44a7-86d6-7087a004871d,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:02,f744dab1-08db-484b-b79f-87157aa7d6ce,who is my people consultant,Request_Support,89%,Sounds like you want to talk to someone. Please click https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948|here to submit your question or request. Hold tight and we will be in touch shortly.,,
17-Jun,18:44,875b8e11-282c-4f27-a120-49621c678af9,how do i change my benefits,Manage_Benefits_Plan,100%,All benefit changes and elections are made within Workday. You can only make changes to your benefits during Open Enrollment  typically the first two weeks of November  or within 30 days of a Qualifying Life Event. Visit https://workdayinc.benefitstream.net/your-benefits-28/eligibility|BenefitStream.net for a list of Benefits Eligibility and Qualifying Life Events. Username: workday Password: welcome2benefits To change your benefits in Workday: Click the Benefits application in Workday  Change  Benefits  Select the Qualifying Reason and the Benefit Event Date  Attach support document/s  Submit. After submitting  your request will be approved by our benefits team. Once approved  you will receive a task in your inbox to update your benefits.,1,
17-Jun,16:07,d61d5481-df85-4a65-9dca-08925c6bbd79,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:07,d61d5481-df85-4a65-9dca-08925c6bbd79,do i have to respond to the volunteer open enrollment,Enroll_in_Plan,97%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,,
17-Jun,16:08,89d8d620-4ea3-4068-a0d4-c50158b97e9e,do we have legal benefits plans,Get_Plan_Info,67%,We are here to help but first check out the https://www.myalex.com/workday/2019|ALEX  an easy to use online tool to help find the best-fit benefit plan for you and/or your family. ALEX can also explain any terms or concepts you don't understand. If after using ALEX you still need help  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|ServiceHub request,,
17-Jun,16:10,89d8d620-4ea3-4068-a0d4-c50158b97e9e,who are my beneficiaries,Get_Plan_Info,50%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,,
17-Jun,16:19,bc5e8372-7d77-4318-9c76-bd2346c6ff07,hi,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:20,bc5e8372-7d77-4318-9c76-bd2346c6ff07,when is the next espp enrollment,Enroll_in_Plan,99%,Happy to talk about ESPP! Workday has two ESPP enrollment periods per year - November and May. Don't worry  you will receive a Workday task in your inbox once the enrollment period opens. If you have more questions  check out the ESPP FAQ https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000GpgKAAS/page/a7t80000000HFyOAAW?origin=cl|here or reach out to our Stock Admin team within Service Hub https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=20c0860449413100d0ae0e069ef85f2b&sysparm_category=c03b4db279387100d0aeae36adbaa297|here.,,
17-Jun,16:23,0621cd55-085f-414c-973e-e2082931a455,thanks,ChatBot_Positive_Feedback,100%,That's great! I'm glad we could connect on this :),,
17-Jun,16:23,0621cd55-085f-414c-973e-e2082931a455,are you a dog,ChatBot_Dog_Type,100%,I'm a Workday guide dog.,,
17-Jun,16:23,5b16b07e-e7f5-4ad6-9352-399d3e4f7fee,are you a robot,ChatBot_Reality,85%,I am a Workday computer program. Some of your Workmates helped program me and are constantly helping me improve.,,
17-Jun,16:23,5b16b07e-e7f5-4ad6-9352-399d3e4f7fee,are you a human,ChatBot_Reality,85%,I am a Workday computer program. Some of your Workmates helped program me and are constantly helping me improve.,,
17-Jun,16:24,61fafa1d-99fc-47e4-8d11-2b21f7f4da98,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:24,46c4aed9-1a93-4f73-8d8c-028bf76ea3c1,what is espp,Get_Plan_Info,80%,An ESPP is a voluntary benefit plan in which eligible employees may elect to contribute money from their payroll (or contribute directly for Hong Kong) to purchase company stock at a discounted price. Eligible employees may contribute between 1-15% (in 1% increments) of their (1) base salary (not including bonuses and commissions)  or (2) regular hourly wages (for hourly employees) to purchase shares under the ESPP. The contribution is calculated on gross wages  but deducted from after-tax dollars. To learn more including important dates and facts head to the https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000GpgKAAS/page/a7t80000000HFyOAAW?origin=cl|ESPP site,,
17-Jun,16:29,2483a279-fa86-4c92-a56f-935799595b82,hi Wex,ChatBot_Greetings,99%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:30,c1909343-c43a-4cac-966d-bd9062b88fea,verification of insurance,Get_Letter,82%,I think I can help. Please follow these steps to generate an employment verification letter:  1. Click your Worker Profile icon  2. Click the Actions icon  Worker Request  Request Reference Letter.   3. Click on the drop-down menu and click on Verification of Employment. Select either: Without Salary  With Salary  or With Salary + Variable Pay  4. Click the Submit button. You will receive your letter through your Workday Inbox  5. Click on your Inbox icon  and locate the letter.  6. Click on the PDF link to view and print your employment letter.,,
17-Jun,16:01,8e89e202-74e6-40fd-835d-feac1b509367,when can i change my benefits,Manage_Benefits_Plan,100%,All benefit changes and elections are made within Workday. You can only make changes to your benefits during Open Enrollment  typically the first two weeks of November  or within 30 days of a Qualifying Life Event. Visit https://workdayinc.benefitstream.net/your-benefits-28/eligibility|BenefitStream.net for a list of Benefits Eligibility and Qualifying Life Events. Username: workday Password: welcome2benefits To change your benefits in Workday: Click the Benefits application in Workday  Change  Benefits  Select the Qualifying Reason and the Benefit Event Date  Attach support document/s  Submit. After submitting  your request will be approved by our benefits team. Once approved  you will receive a task in your inbox to update your benefits.,1,
17-Jun,16:39,6c47d872-2db8-4975-84ce-12b1261a1568,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:39,50a7cbd6-9398-4a81-897f-ff037662c32e,fitness program,Enroll_in_Plan,100%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,,
17-Jun,16:40,c6b6bfd8-8ec1-4d09-8486-9c28e121b893,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:40,483d5c39-2b2d-48c5-b33f-e1b52743a3b5,Eligible fitness expenses,List_Reimbursable_Expenses,99%,For a list of eligible fitness reimbursement expenses and more information  visit the https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program website.,,
17-Jun,16:46,35b3f6cd-a2bc-47c7-80e2-503a70e9e20e,where can i learn more about pet insurance,Get_Plan_Info,46%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,,
17-Jun,16:48,7c9342d2-bc49-43c9-87bf-3d8c579d3a10,how do i access eap,Get_Access,98%,Sounds like you're inquiring about your access.,,
17-Jun,16:50,06511530-5122-41a4-a4b6-bce9ade1327a,mylifecoach,ChatBot_Greetings,78%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:52,b3b15c04-bc3b-4ae5-aa30-a66f98d02daf,how do i go on loa,Request_Leave_of_Absence,82%,Workday recognizes there may be times when you need to take a leave of absence to attend to a medical condition  bond with a new child  take care of an ill or injured family member  or take time off for other circumstances.   You can find additional information about the different types of leaves available to you at https://workdayinc.benefitstream.net/leave-absence-5|BenefitStream.net.  Username: workday Password: welcome2benefits You may also plan a leave of absence  learn more about leaves and your benefits related to leaves  and file a leave claim by visiting LeaveLogic at https://workday.leavelogic.com|Workday LeaveLogic. If would like to speak to someone about a leave of absence you can contact Unum  Workday's leave of absence administrator  at 1.866.865.9092 or 1.207.575.0680.,,
17-Jun,16:53,b3b15c04-bc3b-4ae5-aa30-a66f98d02daf,how much money does workday put in my hsa,Get_Contribution_Amount,70%,Workday will contribute up to $1 125 (employee only coverage) and up to $2 250 (family coverage) annually into your HSA account. The actual amount you receive from Workday will depend on your enrollment date and is paid out quarterly. Employer contributions are made during the second pay period in January  April  July  and October. You must be enrolled in the HSA plan on the first day of the calendar quarter in order to receive the Workday contribution that quarter.   You can choose to contribute a high amount to reach the IRS max ($3 500 single and $7 000 family - inclusive of the company contribution) early in the calendar year and then decrease to 0%. You can change your HSA contributions anytime during the calendar year through Workday. Please allow a few days from that pay date for your funds to appear in your Fidelity HSA account.,,
17-Jun,16:58,f2dffb1d-cb5c-412e-ab30-cd73623bbb1e,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,16:58,021c79b6-4066-4abd-9715-31df7602470b,fitness program,Enroll_in_Plan,100%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,,
17-Jun,16:58,ef36c2ad-52b4-4bfb-bac1-38ec8e52bfc0,Eligible fitness expenses,List_Reimbursable_Expenses,99%,For a list of eligible fitness reimbursement expenses and more information  visit the https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program website.,,
17-Jun,17:27,cf4a53e9-5dec-4f03-a337-d59f6b4575d8,can i hear a joke,ChatBot_Jokes,93%,What does a Dalmatian say when heâ€™s scratching an itch? Ahh  thatâ€™s the spot.,,
17-Jun,17:36,821e107b-ef06-41fc-ba1e-2506cf5c0aed,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,,
17-Jun,17:37,5b6bb54f-5256-465c-909d-8bcfa71e7b88,do we have any pet insurance,Enroll_in_Plan,88%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,,
17-Jun,17:40,821e107b-ef06-41fc-ba1e-2506cf5c0aed,uk benefits,Enroll_in_Plan,50%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,,
17-Jun,17:40,3c6b8860-223a-4d00-896b-98acd6cf6905,canada benefits,Enroll_in_Plan,38%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,,
